2025-10-05T23:42:41.000000000Z [inf]  Starting Container
2025-10-05T23:42:41.875012270Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-05T23:42:42.215191268Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-05T23:42:42.215197232Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-05T23:42:42.833945919Z [inf]  Using 'pg' driver for database querying
2025-10-05T23:42:42.888795020Z [inf]  [⣷] Pulling schema from database...
2025-10-05T23:42:42.959494972Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-05T23:42:43.113680842Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-05T23:42:43.265095041Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-05T23:42:43.369543461Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-05T23:42:43.438658698Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-05T23:42:43.438665349Z [inf]  [i] No changes detected
2025-10-05T23:42:43.599971306Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-05T23:42:43.630430715Z [inf]  
2025-10-05T23:42:43.630439801Z [inf]  > rest-express@1.0.0 start
2025-10-05T23:42:43.630445936Z [inf]  > NODE_ENV=production node dist/index.js
2025-10-05T23:42:43.630452134Z [inf]  
2025-10-05T23:42:44.394767062Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-10-05T23:42:44.403378280Z [err]  ⚠️ HERE API key not found. Tracking features will be disabled.
2025-10-05T23:42:44.403387309Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-10-05T23:42:44.403395156Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-10-05T23:42:44.401Z
2025-10-05T23:42:44.403401487Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-10-05T23:42:44.403408922Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-10-05T23:42:44.403416969Z [inf]  🔧 Process ID: 49
2025-10-05T23:42:44.403423872Z [inf]  🔧 Node.js version: v22.11.0
2025-10-05T23:42:44.403429440Z [inf]  🔧 Platform: linux
2025-10-05T23:42:44.403435431Z [inf]  🔧 Architecture: x64
2025-10-05T23:42:44.403441487Z [inf]  🔧 Memory usage: {
2025-10-05T23:42:44.403446448Z [inf]    "rss": 132689920,
2025-10-05T23:42:44.403451128Z [inf]    "heapTotal": 61906944,
2025-10-05T23:42:44.403456616Z [inf]    "heapUsed": 31127696,
2025-10-05T23:42:44.403462293Z [inf]    "external": 3897578,
2025-10-05T23:42:44.403469142Z [inf]    "arrayBuffers": 315505
2025-10-05T23:42:44.403474235Z [inf]  }
2025-10-05T23:42:44.407417362Z [inf]  🚨 DEPLOYMENT DEBUG: About to call startServer function
2025-10-05T23:42:44.407423774Z [inf]  🚨 DEPLOYMENT DEBUG: Pre-execution timestamp: 2025-10-05T23:42:44.404Z
2025-10-05T23:42:44.407428076Z [inf]  🚨 DEPLOYMENT DEBUG: Starting server initialization function
2025-10-05T23:42:44.407432220Z [inf]  🚨 DEPLOYMENT DEBUG: Function entry timestamp: 2025-10-05T23:42:44.404Z
2025-10-05T23:42:44.407436213Z [inf]  🚀 Starting LoadTracker Pro server...
