2025-11-07T23:26:23.000000000Z [inf]  Starting Container
2025-11-07T23:26:24.369832566Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-07T23:26:24.369840187Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-11-07T23:26:24.369846188Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-11-07T23:26:24.377491825Z [inf]  Using 'pg' driver for database querying
2025-11-07T23:26:24.526746226Z [inf]  [⣷] Pulling schema from database...
2025-11-07T23:26:24.646602697Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-11-07T23:26:24.765233037Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-11-07T23:26:25.376933935Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-11-07T23:26:25.376943770Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-11-07T23:26:25.376950051Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-11-07T23:26:25.377017784Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-11-07T23:26:25.483777717Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-11-07T23:26:25.536591810Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-11-07T23:26:25.664158809Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-11-07T23:26:25.729551976Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-11-07T23:26:25.777721336Z [inf]  [i] No changes detected
2025-11-07T23:26:26.373144259Z [inf]  
2025-11-07T23:26:26.373156600Z [inf]  > rest-express@1.0.0 start
2025-11-07T23:26:26.373164427Z [inf]  > NODE_ENV=production node dist/index.js
2025-11-07T23:26:26.373171800Z [inf]  
2025-11-07T23:26:26.373187758Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-07T23:26:27.570403752Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-11-07T23:26:27.570410913Z [inf]  ✅ HERE Tracking API initialized
2025-11-07T23:26:27.570418438Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-11-07T23:26:27.570429959Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-11-07T23:26:27.504Z
2025-11-07T23:26:27.570439554Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-11-07T23:26:27.570447963Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-11-07T23:26:27.570454058Z [inf]  🔧 Process ID: 50
2025-11-07T23:26:27.570460060Z [inf]  🔧 Node.js version: v22.11.0
2025-11-07T23:26:27.570465996Z [inf]  🔧 Platform: linux
2025-11-07T23:26:27.570481222Z [inf]  🔧 Architecture: x64
2025-11-07T23:26:27.570492329Z [inf]  🔧 Memory usage: {
2025-11-07T23:26:27.570503668Z [inf]    "rss": 178229248,
2025-11-07T23:26:27.570510375Z [inf]    "heapTotal": 96579584,
2025-11-07T23:26:27.570516740Z [inf]    "heapUsed": 67887472,
2025-11-07T23:26:27.570527911Z [inf]    "external": 4204721,
2025-11-07T23:26:27.570536322Z [inf]    "arrayBuffers": 532394
2025-11-07T23:26:27.570542508Z [inf]  }
2025-11-07T23:26:27.570548808Z [inf]  🚨 DEPLOYMENT DEBUG: About to call startServer function
2025-11-07T23:26:27.570555094Z [inf]  🚨 DEPLOYMENT DEBUG: Pre-execution timestamp: 2025-11-07T23:26:27.508Z
2025-11-07T23:26:27.570562083Z [inf]  🚨 DEPLOYMENT DEBUG: Starting server initialization function
2025-11-07T23:26:27.570568128Z [inf]  🚨 DEPLOYMENT DEBUG: Function entry timestamp: 2025-11-07T23:26:27.509Z
2025-11-07T23:26:27.570586104Z [inf]  🚀 Starting LoadTracker Pro server...
2025-11-07T23:26:27.570595948Z [inf]  📊 STARTUP TRACE: Entering main server initialization function
2025-11-07T23:26:27.573841499Z [inf]  📊 STARTUP TRACE: Beginning try block for server startup
2025-11-07T23:26:27.573848011Z [inf]  🚨 DEPLOYMENT DEBUG: Inside try block - server startup beginning
2025-11-07T23:26:27.573855291Z [inf]  🔧 Validating environment configuration...
2025-11-07T23:26:27.573862566Z [inf]  🚨 DEPLOYMENT DEBUG: Validating PORT environment variable
2025-11-07T23:26:27.573869192Z [inf]  🚨 DEPLOYMENT DEBUG: Raw PORT value: 8080
2025-11-07T23:26:27.573876203Z [inf]  🚨 DEPLOYMENT DEBUG: PORT type: string
2025-11-07T23:26:27.573881956Z [inf]  🚨 DEPLOYMENT DEBUG: Parsed PORT value: 8080
2025-11-07T23:26:27.573888574Z [inf]  ✅ DEPLOYMENT DEBUG: PORT validation successful: 8080
2025-11-07T23:26:27.573894583Z [inf]  ✅ Database URL configured
