2025-11-08T17:37:48.000000000Z [inf]  Starting Container
2025-11-08T17:37:50.086039143Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-08T17:37:50.086046150Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-11-08T17:37:50.086052192Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-11-08T17:37:50.113295205Z [inf]  Using 'pg' driver for database querying
2025-11-08T17:37:50.268968132Z [inf]  [⣷] Pulling schema from database...
2025-11-08T17:37:50.383801157Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-11-08T17:37:51.017652537Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-11-08T17:37:51.017660519Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-11-08T17:37:51.017666824Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-11-08T17:37:51.017673615Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-11-08T17:37:51.017680818Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-11-08T17:37:51.147983227Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-11-08T17:37:51.268019710Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-11-08T17:37:51.396345299Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-11-08T17:37:51.965549050Z [inf]  
2025-11-08T17:37:51.965562089Z [inf]  > rest-express@1.0.0 start
2025-11-08T17:37:51.965571777Z [inf]  > NODE_ENV=production tsx server/index.ts
2025-11-08T17:37:51.965577470Z [inf]  [i] No changes detected
2025-11-08T17:37:51.965580138Z [inf]  
2025-11-08T17:37:51.965584274Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-08T17:37:53.092439453Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-11-08T17:37:53.176559300Z [inf]  ✅ HERE Tracking API initialized
2025-11-08T17:37:53.348757770Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-11-08T17:37:53.348769288Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-11-08T17:37:53.343Z
2025-11-08T17:37:53.348776554Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-11-08T17:37:53.348782593Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-11-08T17:37:53.348787890Z [inf]  🔧 Process ID: 62
2025-11-08T17:37:53.348794710Z [inf]  🔧 Node.js version: v22.11.0
2025-11-08T17:37:53.348804969Z [inf]  🔧 Platform: linux
2025-11-08T17:37:53.348811197Z [inf]  🔧 Architecture: x64
2025-11-08T17:37:53.348817632Z [inf]  🔧 Memory usage: {
2025-11-08T17:37:53.348823879Z [inf]    "rss": 247762944,
2025-11-08T17:37:53.348829450Z [inf]    "heapTotal": 75689984,
2025-11-08T17:37:53.348835014Z [inf]    "heapUsed": 51750528,
2025-11-08T17:37:53.348840550Z [inf]    "external": 5451983,
2025-11-08T17:37:53.348846183Z [inf]    "arrayBuffers": 597630
2025-11-08T17:37:53.348851899Z [inf]  }
2025-11-08T17:37:53.352424555Z [inf]  🚨 DEPLOYMENT DEBUG: About to call startServer function
2025-11-08T17:37:53.352431909Z [inf]  🚨 DEPLOYMENT DEBUG: Pre-execution timestamp: 2025-11-08T17:37:53.347Z
2025-11-08T17:37:53.352438726Z [inf]  🚨 DEPLOYMENT DEBUG: Starting server initialization function
2025-11-08T17:37:53.352445485Z [inf]  🚨 DEPLOYMENT DEBUG: Function entry timestamp: 2025-11-08T17:37:53.348Z
2025-11-08T17:37:53.352452279Z [inf]  🚀 Starting LoadTracker Pro server...
2025-11-08T17:37:53.352458673Z [inf]  📊 STARTUP TRACE: Entering main server initialization function
2025-11-08T17:37:53.352464848Z [inf]  📊 STARTUP TRACE: Beginning try block for server startup
2025-11-08T17:37:53.352470795Z [inf]  🚨 DEPLOYMENT DEBUG: Inside try block - server startup beginning
2025-11-08T17:37:53.352477069Z [inf]  🔧 Validating environment configuration...
2025-11-08T17:37:53.352482808Z [inf]  🚨 DEPLOYMENT DEBUG: Validating PORT environment variable
2025-11-08T17:37:53.352488929Z [inf]  🚨 DEPLOYMENT DEBUG: Raw PORT value: 8080
2025-11-08T17:37:53.352503835Z [inf]  🚨 DEPLOYMENT DEBUG: PORT type: string
2025-11-08T17:37:53.352513562Z [inf]  🚨 DEPLOYMENT DEBUG: Parsed PORT value: 8080
2025-11-08T17:37:53.352519372Z [inf]  ✅ DEPLOYMENT DEBUG: PORT validation successful: 8080
2025-11-08T17:37:53.352525288Z [inf]  ✅ Database URL configured
2025-11-08T17:37:53.352530678Z [err]  ⚠️  LoadRight API key not configured. LoadRight webhook endpoints will return 503 Service Unavailable.
2025-11-08T17:37:53.352536803Z [inf]  ✅ Object storage environment variables configured (Google Cloud Storage)
2025-11-08T17:37:53.352542960Z [inf]  ✅ SMS service (Telnyx) configured
2025-11-08T17:37:53.352550745Z [inf]  ✅ Session authentication configured
2025-11-08T17:37:53.352556567Z [inf]  🔧 Configuration validated: PORT=8080, HOST=0.0.0.0
2025-11-08T17:37:53.352562471Z [inf]  🔧 Environment: NODE_ENV=production
2025-11-08T17:37:53.358839323Z [inf]  🔧 Testing database connection...
2025-11-08T17:37:53.358844560Z [err]  (node:62) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-11-08T17:37:53.358850822Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-11-08T17:37:54.091052446Z [inf]  ✅ Database connection successful
2025-11-08T17:37:54.091058159Z [inf]  📝 Registering application routes...
2025-11-08T17:37:54.091063185Z [err]  ❌ Authentication setup failed - app will continue without Replit Auth: TypeError: input.entries is not a function
2025-11-08T17:37:54.091068361Z [err]      at prepareHeaders (/app/node_modules/oauth4webapi/src/index.ts:1165:38)
2025-11-08T17:37:54.091073388Z [err]      at performDiscovery (/app/node_modules/oauth4webapi/src/index.ts:1239:19)
2025-11-08T17:37:54.091078340Z [err]      at Module.discoveryRequest (/app/node_modules/oauth4webapi/src/index.ts:1273:10)
2025-11-08T17:37:54.091083218Z [err]      at performDiscovery (/app/node_modules/openid-client/src/index.ts:1361:15)
2025-11-08T17:37:54.091088185Z [err]      at Module.discovery (/app/node_modules/openid-client/src/index.ts:1280:20)
2025-11-08T17:37:54.091093859Z [err]      at memoize.maxAge (/app/server/replitAuth.ts:30:25)
2025-11-08T17:37:54.091098955Z [err]      at memoized (/app/node_modules/memoizee/lib/configure-map.js:81:23)
2025-11-08T17:37:54.091104226Z [err]      at setupAuth (/app/server/replitAuth.ts:113:24)
2025-11-08T17:37:54.091109370Z [err]      at registerRoutes (/app/server/routes.ts:397:11)
2025-11-08T17:37:54.091115814Z [err]      at startServer (/app/server/index.ts:256:26)
2025-11-08T17:37:54.091121013Z [err]  ⚠️ Users can still access the app using bypass tokens or driver direct access
2025-11-08T17:37:54.091126150Z [inf]  ✅ Routes registered successfully
2025-11-08T17:37:54.091131177Z [inf]  📁 Setting up static file serving for production...
2025-11-08T17:37:54.091136585Z [inf]  🔍 DEBUG: Resolved static path: /app/server/public
2025-11-08T17:37:54.091142117Z [inf]  🔍 DEBUG: index.html exists: false
2025-11-08T17:37:54.091147065Z [err]  ❌ Production build directory not found!
2025-11-08T17:37:54.091152187Z [inf]  🚨 PROCESS EXITING with code: 1
2025-11-08T17:37:55.134456437Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-08T17:37:56.062687068Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-11-08T17:37:56.062694648Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-11-08T17:37:56.168163089Z [inf]  Using 'pg' driver for database querying
2025-11-08T17:37:56.305844519Z [inf]  [⣷] Pulling schema from database...
2025-11-08T17:37:56.425971731Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-11-08T17:37:57.046191229Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-11-08T17:37:57.046198686Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-11-08T17:37:57.046298636Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-11-08T17:37:57.046312523Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-11-08T17:37:57.066114260Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-11-08T17:37:57.203878075Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-11-08T17:37:57.352786359Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-11-08T17:37:57.377119047Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-11-08T17:37:57.440547158Z [inf]  [i] No changes detected
2025-11-08T17:37:58.101287299Z [inf]  > NODE_ENV=production tsx server/index.ts
2025-11-08T17:37:58.101302229Z [inf]  
2025-11-08T17:37:58.101376103Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-08T17:37:58.101384341Z [inf]  
2025-11-08T17:37:58.101391272Z [inf]  > rest-express@1.0.0 start
2025-11-08T17:37:59.345522846Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-11-08T17:37:59.345530530Z [inf]  ✅ HERE Tracking API initialized
2025-11-08T17:37:59.345542026Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-11-08T17:37:59.345550585Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-11-08T17:37:59.175Z
2025-11-08T17:37:59.345557683Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-11-08T17:37:59.345564805Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-11-08T17:37:59.345571681Z [inf]  🔧 Process ID: 63
2025-11-08T17:37:59.345578029Z [inf]  🔧 Node.js version: v22.11.0
2025-11-08T17:37:59.345584863Z [inf]  🔧 Platform: linux
2025-11-08T17:37:59.345591103Z [inf]  🔧 Architecture: x64
2025-11-08T17:37:59.346169713Z [inf]  🔧 Memory usage: {
2025-11-08T17:37:59.346197137Z [inf]    "rss": 214937600,
2025-11-08T17:37:59.346205517Z [inf]    "heapTotal": 74645504,
2025-11-08T17:37:59.346216191Z [inf]    "heapUsed": 55235640,
2025-11-08T17:37:59.346222441Z [inf]    "external": 5605344,
2025-11-08T17:37:59.346227358Z [inf]    "arrayBuffers": 646703
2025-11-08T17:37:59.346232184Z [inf]  }
2025-11-08T17:37:59.346236423Z [inf]  🚨 DEPLOYMENT DEBUG: About to call startServer function
2025-11-08T17:37:59.346241239Z [inf]  🚨 DEPLOYMENT DEBUG: Pre-execution timestamp: 2025-11-08T17:37:59.180Z
2025-11-08T17:37:59.346247204Z [inf]  🚨 DEPLOYMENT DEBUG: Starting server initialization function
2025-11-08T17:37:59.346254348Z [inf]  🚨 DEPLOYMENT DEBUG: Function entry timestamp: 2025-11-08T17:37:59.181Z
2025-11-08T17:37:59.346260154Z [inf]  🚀 Starting LoadTracker Pro server...
2025-11-08T17:37:59.346266337Z [inf]  📊 STARTUP TRACE: Entering main server initialization function
2025-11-08T17:37:59.349639359Z [inf]  📊 STARTUP TRACE: Beginning try block for server startup
2025-11-08T17:37:59.349643432Z [inf]  🚨 DEPLOYMENT DEBUG: Inside try block - server startup beginning
2025-11-08T17:37:59.349647149Z [inf]  🔧 Validating environment configuration...
2025-11-08T17:37:59.349650901Z [inf]  🚨 DEPLOYMENT DEBUG: Validating PORT environment variable
2025-11-08T17:37:59.349654827Z [inf]  🚨 DEPLOYMENT DEBUG: Raw PORT value: 8080
2025-11-08T17:37:59.349658807Z [inf]  🚨 DEPLOYMENT DEBUG: PORT type: string
2025-11-08T17:37:59.349662854Z [inf]  🚨 DEPLOYMENT DEBUG: Parsed PORT value: 8080
2025-11-08T17:37:59.349667127Z [inf]  ✅ DEPLOYMENT DEBUG: PORT validation successful: 8080
2025-11-08T17:37:59.349670647Z [inf]  ✅ Database URL configured
