2025-10-06T16:42:10.000000000Z [inf]  Starting Container
2025-10-06T16:42:11.842633082Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-06T16:42:11.844647360Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-06T16:42:11.844656461Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-06T16:42:12.420787308Z [inf]  Using 'pg' driver for database querying
2025-10-06T16:42:12.753956021Z [inf]  [⣷] Pulling schema from database...
2025-10-06T16:42:12.787357904Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-06T16:42:12.845892572Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-06T16:42:12.945580558Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-06T16:42:13.071443778Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-06T16:42:13.116595901Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-06T16:42:13.166841823Z [inf]  [i] No changes detected
2025-10-06T16:42:13.362057910Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-06T16:42:13.416558041Z [inf]  
2025-10-06T16:42:13.416566248Z [inf]  > rest-express@1.0.0 start
2025-10-06T16:42:13.416574370Z [inf]  > NODE_ENV=production node dist/index.js
2025-10-06T16:42:13.416582866Z [inf]  
2025-10-06T16:42:14.404212336Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-10-06T16:42:14.414546342Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-10-06T16:42:14.414555280Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-10-06T16:42:14.408Z
2025-10-06T16:42:14.414561266Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-10-06T16:42:14.414566497Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-10-06T16:42:14.414572655Z [inf]  🔧 Process ID: 52
2025-10-06T16:42:14.414598844Z [inf]  🔧 Node.js version: v22.11.0
2025-10-06T16:42:14.416512946Z [inf]  🔧 Platform: linux
