2025-10-05T23:47:23.000000000Z [inf]  Starting Container
2025-10-05T23:47:24.247540134Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-05T23:47:24.532283518Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-05T23:47:24.532353093Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-05T23:47:24.999952682Z [inf]  Using 'pg' driver for database querying
2025-10-05T23:47:25.040681065Z [inf]  [⣷] Pulling schema from database...
2025-10-05T23:47:25.174501739Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-05T23:47:25.317460356Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-05T23:47:25.422200484Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-05T23:47:25.549674229Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-05T23:47:25.558607837Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-05T23:47:25.594344821Z [inf]  [i] No changes detected
2025-10-05T23:47:25.728082521Z [err]  npm warn config production Use `--omit=dev` instead.
2025-10-05T23:47:25.731859015Z [inf]  
2025-10-05T23:47:25.731864018Z [inf]  > rest-express@1.0.0 start
2025-10-05T23:47:25.731868440Z [inf]  > NODE_ENV=production node dist/index.js
2025-10-05T23:47:25.731872607Z [inf]  
2025-10-05T23:47:26.374406116Z [err]  ⚠️ REPLIT_DOMAINS not set. Setting default domain for deployment.
2025-10-05T23:47:26.383513229Z [inf]  🚨 DEPLOYMENT DEBUG: server/index.ts file loaded and executing - Railway Auth Fix Deploy
2025-10-05T23:47:26.383519825Z [inf]  🚨 DEPLOYMENT DEBUG: Current timestamp: 2025-10-05T23:47:26.379Z
2025-10-05T23:47:26.383524621Z [inf]  🚨 DEPLOYMENT DEBUG: Process environment: { nodeEnv: 'production', port: '8080', hasDatabase: true }
2025-10-05T23:47:26.383528808Z [inf]  📁 SERVER FILE EXECUTING: server/index.ts loaded successfully
2025-10-05T23:47:26.383533589Z [inf]  🔧 Process ID: 48
2025-10-05T23:47:26.383537688Z [inf]  🔧 Node.js version: v22.11.0
2025-10-05T23:47:26.383542641Z [inf]  🔧 Platform: linux
2025-10-05T23:47:26.383547007Z [inf]  🔧 Architecture: x64
2025-10-05T23:47:26.383551006Z [inf]  🔧 Memory usage: {
2025-10-05T23:47:26.383555037Z [inf]    "rss": 125853696,
2025-10-05T23:47:26.383558793Z [inf]    "heapTotal": 62431232,
2025-10-05T23:47:26.383563104Z [inf]    "heapUsed": 30891744,
2025-10-05T23:47:26.383567039Z [inf]    "external": 3897578,
2025-10-05T23:47:26.383571219Z [inf]    "arrayBuffers": 315505
2025-10-05T23:47:26.383575029Z [inf]  }
2025-10-05T23:47:26.383579741Z [inf]  🚨 DEPLOYMENT DEBUG: About to call startServer function
